Project ID,Project name,Client,Company ID,Location,Project manager,Start date,Target completion,Stage,Status,Budget,Fee,Phase fees,Weekly hours allocated,Member hours allocation,Phase schedule,Milestones,Team members,Compliance checklist,Notes,Last updated
25052,Project Orange,Ando Insurance,85d178de,"30 Daldy Street, Auckland CBD, Auckland 0110",Daryl Hayworth,2025-10-10,2026-07-02,Construction Phase,On track,2474925.0,2012.5,,80.0,,Construction: 2025-12-01 to 2026-07-02,Design sign-off @2026-07-15,Iva Parapunova; Zlatko Vuletic,,,2026-06-03 23:45
26008,GHD Fitout,Precinct,,"21 Queen Street, Auckland CBD, Auckland 0110",External,2026-05-27,2026-05-27,Concept Design,Delayed,0.0,,,0.0,Sally Vandal: 27.0,"Preliminary: 2026-03-17 to 2026-05-13
Detailed Design: 2026-05-13 to 2026-05-18
Building Consent: 2026-05-18 to 2026-09-14",,Sally Vandal,,,2026-05-28 01:33
25054,IAG Bike Shed,IAG ,,"14 Show Place, Addington, Christchurch",,2026-05-18,2026-07-13,Developed & Detailed Design,On track,0.0,3024.5,,0.0,,,,Zlatko Vuletic,,,2026-05-28 09:38
25056,PAG Mason Bros,PAG,,,,2026-03-25,2026-06-04,Developed & Detailed Design,On track,0.0,,,0.0,,,,Anna Travis; Hodaya Yarden; Sally Vandal; Zlatko Vuletic,,,2026-05-28 01:43
