Company ID,Name,Status,Industry,Website,Phone,Billing address,Postal address,Referral source,Notes,Tags,Custom fields,Created,Last updated
9314f549,One NZ,Active,Other,one.nz,,"30 Daldy Street, Freemans Bay, Auckland 0110","30 Daldy Street, Freemans Bay, Auckland 0110",,,,[],2026-05-28,2026-05-28 06:18
85d178de,Ando Insurance,Active,Other,,,,,,,,[],2026-05-28,2026-05-28 06:28
2960e267,Mansons TCLM Ltd. ,Active,Construction,https://mansons.co.nz/, 09 377 3660,"74 Saint Georges Bay Road, Parnell, Auckland 1052","74 Saint Georges Bay Road, Parnell, Auckland 1052",,,,[],2026-06-08,2026-06-08 20:22
